yleis_label,yleis_dundasChartControl1_DCG_Period1_label,yleis_dundasChartControl1_DCG_Period1_Value_X,yleis_dundasChartControl1_DCG_Period1_Value_Y,pofo_label,pofo_dundasChartControl1_DCG_Period1_Value_X,pofo_dundasChartControl1_DCG_Period1_Value_Y
yleis,September,09/01/2025 00:00:00,10875.66,pofo,09/01/2025 00:00:00,8013.9
yleis,September,09/02/2025 00:00:00,10729.53,pofo,09/02/2025 00:00:00,7896.52
yleis,September,09/03/2025 00:00:00,10783.07,pofo,09/03/2025 00:00:00,7942.43
yleis,September,09/04/2025 00:00:00,10851.44,pofo,09/04/2025 00:00:00,7980.19
yleis,September,09/05/2025 00:00:00,10933.16,pofo,09/05/2025 00:00:00,8050.55
yleis,September,09/08/2025 00:00:00,11005.61,pofo,09/08/2025 00:00:00,8100.29
yleis,September,09/09/2025 00:00:00,11012.31,pofo,09/09/2025 00:00:00,8098.15
yleis,September,09/10/2025 00:00:00,11040.4,pofo,09/10/2025 00:00:00,8111.68
yleis,September,09/11/2025 00:00:00,11098.26,pofo,09/11/2025 00:00:00,8164.92
yleis,September,09/12/2025 00:00:00,11099.58,pofo,09/12/2025 00:00:00,8165.49
yleis,September,09/15/2025 00:00:00,11113.93,pofo,09/15/2025 00:00:00,8168.83
yleis,September,09/16/2025 00:00:00,11050.7,pofo,09/16/2025 00:00:00,8123.11
yleis,September,09/17/2025 00:00:00,11051.07,pofo,09/17/2025 00:00:00,8115.81
yleis,September,09/18/2025 00:00:00,11012.14,pofo,09/18/2025 00:00:00,8091.5
yleis,September,09/19/2025 00:00:00,10997.36,pofo,09/19/2025 00:00:00,8067.54
yleis,September,09/22/2025 00:00:00,10977.55,pofo,09/22/2025 00:00:00,8055.82
yleis,September,09/23/2025 00:00:00,11063.54,pofo,09/23/2025 00:00:00,8114.82
yleis,September,09/24/2025 00:00:00,11020.96,pofo,09/24/2025 00:00:00,8066.85
yleis,September,09/25/2025 00:00:00,10927.22,pofo,09/25/2025 00:00:00,7992.41
yleis,September,09/26/2025 00:00:00,10997.02,pofo,09/26/2025 00:00:00,8017.32
yleis,September,09/29/2025 00:00:00,11031.13,pofo,09/29/2025 00:00:00,8039.33
yleis,September,09/30/2025 00:00:00,11019.21,pofo,09/30/2025 00:00:00,8046.71
yleis,October,10/01/2025 00:00:00,11042.94,pofo,10/01/2025 00:00:00,8067.84
yleis,October,10/02/2025 00:00:00,11034.04,pofo,10/02/2025 00:00:00,8073.37
yleis,October,10/03/2025 00:00:00,11073.62,pofo,10/03/2025 00:00:00,8099.18
yleis,October,10/06/2025 00:00:00,11021.02,pofo,10/06/2025 00:00:00,8056.34
yleis,October,10/07/2025 00:00:00,11039.93,pofo,10/07/2025 00:00:00,8069.98
yleis,October,10/08/2025 00:00:00,11088.67,pofo,10/08/2025 00:00:00,8105.7
yleis,October,10/09/2025 00:00:00,11119.61,pofo,10/09/2025 00:00:00,8127.95
yleis,October,10/10/2025 00:00:00,11097.36,pofo,10/10/2025 00:00:00,8103.72
yleis,October,10/13/2025 00:00:00,11093.8,pofo,10/13/2025 00:00:00,8105.31
yleis,October,10/14/2025 00:00:00,11148.83,pofo,10/14/2025 00:00:00,8139.09
yleis,October,10/15/2025 00:00:00,11212.89,pofo,10/15/2025 00:00:00,8181.39
yleis,October,10/16/2025 00:00:00,11342.27,pofo,10/16/2025 00:00:00,8249.84
yleis,October,10/17/2025 00:00:00,11229.96,pofo,10/17/2025 00:00:00,8172.78
yleis,October,10/20/2025 00:00:00,11326.04,pofo,10/20/2025 00:00:00,8242.42
yleis,October,10/21/2025 00:00:00,11344.24,pofo,10/21/2025 00:00:00,8254.29
yleis,October,10/22/2025 00:00:00,11376.64,pofo,10/22/2025 00:00:00,8273.38
yleis,October,10/23/2025 00:00:00,11686.67,pofo,10/23/2025 00:00:00,8531.97
yleis,October,10/24/2025 00:00:00,11725.68,pofo,10/24/2025 00:00:00,8572.52
yleis,October,10/27/2025 00:00:00,11799.83,pofo,10/27/2025 00:00:00,8619.37
yleis,October,10/28/2025 00:00:00,12007.21,pofo,10/28/2025 00:00:00,8763.61
yleis,October,10/29/2025 00:00:00,12011.04,pofo,10/29/2025 00:00:00,8778.73
yleis,October,10/30/2025 00:00:00,11986.39,pofo,10/30/2025 00:00:00,8747.46
yleis,October,10/31/2025 00:00:00,11859.22,pofo,10/31/2025 00:00:00,8692.37
yleis,November,11/03/2025 00:00:00,11947.5,pofo,11/03/2025 00:00:00,8731.33
yleis,November,11/04/2025 00:00:00,11807.56,pofo,11/04/2025 00:00:00,8620.11
yleis,November,11/05/2025 00:00:00,11689.54,pofo,11/05/2025 00:00:00,8549.95
yleis,November,11/06/2025 00:00:00,11773.82,pofo,11/06/2025 00:00:00,8598.61
yleis,November,11/07/2025 00:00:00,11713.29,pofo,11/07/2025 00:00:00,8567.85
yleis,November,11/10/2025 00:00:00,11780.63,pofo,11/10/2025 00:00:00,8621.4
yleis,November,11/11/2025 00:00:00,11966.28,pofo,11/11/2025 00:00:00,8756.72
yleis,November,11/12/2025 00:00:00,12001.25,pofo,11/12/2025 00:00:00,8767.22
yleis,November,11/13/2025 00:00:00,11982.14,pofo,11/13/2025 00:00:00,8743.39
yleis,November,11/14/2025 00:00:00,11854.35,pofo,11/14/2025 00:00:00,8668.62
yleis,November,11/17/2025 00:00:00,11755,pofo,11/17/2025 00:00:00,8596.22
yleis,November,11/18/2025 00:00:00,11532.29,pofo,11/18/2025 00:00:00,8431.63
yleis,November,11/19/2025 00:00:00,11460.5,pofo,11/19/2025 00:00:00,8419.88
yleis,November,11/20/2025 00:00:00,11562.66,pofo,11/20/2025 00:00:00,8495.39
yleis,November,11/21/2025 00:00:00,11476.87,pofo,11/21/2025 00:00:00,8429.53
yleis,November,11/24/2025 00:00:00,11579.3,pofo,11/24/2025 00:00:00,8502.46
yleis,November,11/25/2025 00:00:00,11603.63,pofo,11/25/2025 00:00:00,8523.22
yleis,November,11/26/2025 00:00:00,11709.18,pofo,11/26/2025 00:00:00,8600.03
yleis,November,11/27/2025 00:00:00,11766.94,pofo,11/27/2025 00:00:00,8646.17
yleis,November,11/28/2025 00:00:00,11752.59,pofo,11/28/2025 00:00:00,8638.57
yleis,December,12/01/2025 00:00:00,11778.78,pofo,12/01/2025 00:00:00,8646.74
yleis,December,12/02/2025 00:00:00,11801.34,pofo,12/02/2025 00:00:00,8648.82
yleis,December,12/03/2025 00:00:00,11841.93,pofo,12/03/2025 00:00:00,8686.89
yleis,December,12/04/2025 00:00:00,11904.81,pofo,12/04/2025 00:00:00,8754.94
yleis,December,12/05/2025 00:00:00,11914.51,pofo,12/05/2025 00:00:00,8772.55
yleis,December,12/08/2025 00:00:00,11957.22,pofo,12/08/2025 00:00:00,8795.35
yleis,December,12/09/2025 00:00:00,11940.31,pofo,12/09/2025 00:00:00,8775.24
yleis,December,12/10/2025 00:00:00,11973.36,pofo,12/10/2025 00:00:00,8797.85
yleis,December,12/11/2025 00:00:00,12010.63,pofo,12/11/2025 00:00:00,8813.18
yleis,December,12/12/2025 00:00:00,11900.89,pofo,12/12/2025 00:00:00,8749.11
yleis,December,12/15/2025 00:00:00,11936.79,pofo,12/15/2025 00:00:00,8771.85
yleis,December,12/16/2025 00:00:00,11925.56,pofo,12/16/2025 00:00:00,8763.3
yleis,December,12/17/2025 00:00:00,11897.77,pofo,12/17/2025 00:00:00,8733.42
yleis,December,12/18/2025 00:00:00,12045.18,pofo,12/18/2025 00:00:00,8837.93
yleis,December,12/19/2025 00:00:00,12084.54,pofo,12/19/2025 00:00:00,8855.32
yleis,December,12/22/2025 00:00:00,12125.09,pofo,12/22/2025 00:00:00,8887.96
yleis,December,12/23/2025 00:00:00,12173.81,pofo,12/23/2025 00:00:00,8920.62
yleis,December,12/24/2025 00:00:00,12173.81,pofo,12/24/2025 00:00:00,8920.62
yleis,December,12/25/2025 00:00:00,12173.81,pofo,12/25/2025 00:00:00,8920.62
yleis,December,12/26/2025 00:00:00,12173.81,pofo,12/26/2025 00:00:00,8920.62
yleis,December,12/29/2025 00:00:00,12255.26,pofo,12/29/2025 00:00:00,8999.18
yleis,December,12/30/2025 00:00:00,12339.94,pofo,12/30/2025 00:00:00,9062.26
yleis,December,12/31/2025 00:00:00,12339.94,pofo,12/31/2025 00:00:00,9062.26
yleis,January,01/01/2026 00:00:00,12339.94,pofo,01/01/2026 00:00:00,9062.26
yleis,January,01/02/2026 00:00:00,12417.05,pofo,01/02/2026 00:00:00,9108.22
yleis,January,01/05/2026 00:00:00,12483.02,pofo,01/05/2026 00:00:00,9152.73
yleis,January,01/06/2026 00:00:00,12483.02,pofo,01/06/2026 00:00:00,9152.73
yleis,January,01/07/2026 00:00:00,12604.4,pofo,01/07/2026 00:00:00,9278.19
yleis,January,01/08/2026 00:00:00,12490.16,pofo,01/08/2026 00:00:00,9191.61
yleis,January,01/09/2026 00:00:00,12547.54,pofo,01/09/2026 00:00:00,9240.99
yleis,January,01/12/2026 00:00:00,12531.21,pofo,01/12/2026 00:00:00,9222.23
yleis,January,01/13/2026 00:00:00,12549.98,pofo,01/13/2026 00:00:00,9217.94
yleis,January,01/14/2026 00:00:00,12684.24,pofo,01/14/2026 00:00:00,9332.37
yleis,January,01/15/2026 00:00:00,12825.65,pofo,01/15/2026 00:00:00,9420.9
yleis,January,01/16/2026 00:00:00,12789.74,pofo,01/16/2026 00:00:00,9401.16
yleis,January,01/19/2026 00:00:00,12593.03,pofo,01/19/2026 00:00:00,9256.67
yleis,January,01/20/2026 00:00:00,12432.01,pofo,01/20/2026 00:00:00,9129.61
yleis,January,01/21/2026 00:00:00,12533.63,pofo,01/21/2026 00:00:00,9219.93
yleis,January,01/22/2026 00:00:00,12760.14,pofo,01/22/2026 00:00:00,9383.45
yleis,January,01/23/2026 00:00:00,12690.25,pofo,01/23/2026 00:00:00,9351.83
yleis,January,01/26/2026 00:00:00,12798.42,pofo,01/26/2026 00:00:00,9420.83
yleis,January,01/27/2026 00:00:00,12888.57,pofo,01/27/2026 00:00:00,9479.62
yleis,January,01/28/2026 00:00:00,12730.95,pofo,01/28/2026 00:00:00,9381.8
yleis,January,01/29/2026 00:00:00,12528.18,pofo,01/29/2026 00:00:00,9284
yleis,January,01/30/2026 00:00:00,12557.05,pofo,01/30/2026 00:00:00,9272.77
yleis,February,02/02/2026 00:00:00,12720.25,pofo,02/02/2026 00:00:00,9369.54
yleis,February,02/03/2026 00:00:00,12808.41,pofo,02/03/2026 00:00:00,9438.48
